Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Credit_Score,Age,Existing_Loans,Property_Area,Debt_to_Income,Loan_Status
Female,Yes,0,Not Graduate,No,36977,27891,27.3,240.0,1.0,545,39,0,Urban,0.1754,Y
,Yes,0,Graduate,No,19669,5727,21.4,240.0,1.0,652,34,1,Rural,0.3511,N
Female,No,0,Not Graduate,No,54603,0,5.7,120.0,1.0,674,42,0,Urban,0.087,Y
Male,Yes,0,Graduate,No,19207,6252,,360.0,0.0,583,49,0,Rural,0.3219,N
Male,Yes,2,Graduate,Yes,27060,22819,31.1,360.0,1.0,707,44,1,Urban,0.1732,Y
Male,Yes,0,Graduate,No,37006,0,9.5,300.0,1.0,654,58,1,Semiurban,0.0856,Y
Male,Yes,0,Graduate,No,95988,29212,9.9,300.0,0.0,495,61,0,Urban,0.0264,Y
Male,No,0,Graduate,No,25940,0,27.4,360.0,1.0,748,35,0,Urban,0.2934,Y
Male,No,0,Graduate,,44632,0,22.6,300.0,1.0,629,25,3,Semiurban,0.1688,Y
Female,Yes,1,Graduate,No,59278,7136,6.1,360.0,1.0,780,35,1,Semiurban,0.0255,Y
Male,Yes,0,Graduate,No,93156,0,12.3,300.0,1.0,577,39,2,Urban,0.044,Y
Male,,0,Graduate,No,65441,0,24.2,240.0,1.0,643,62,3,Semiurban,0.1541,Y
Male,Yes,1,Graduate,No,76646,23942,30.1,180.0,1.0,850,34,2,Urban,0.1662,Y
Male,Yes,1,Graduate,No,68333,12309,14.1,360.0,1.0,850,41,3,Urban,0.0486,Y
Female,Yes,2,Graduate,No,24232,20831,18.4,120.0,1.0,588,31,1,Rural,0.3403,Y
Male,No,0,Graduate,No,53095,0,11.9,360.0,1.0,819,34,0,Rural,0.0623,Y
Female,Yes,2,Not Graduate,No,67801,9667,44.4,360.0,0.0,735,25,0,Semiurban,0.1592,Y
Female,Yes,3+,Not Graduate,No,27495,40472,22.3,300.0,0.0,686,22,0,Urban,0.1094,N
Male,No,2,Graduate,Yes,33194,0,13.5,240.0,0.0,584,53,0,Urban,0.1695,N
Male,Yes,1,Graduate,No,29685,0,10.0,300.0,1.0,536,50,0,Rural,0.1123,Y
Female,Yes,0,Graduate,No,65272,20634,9.4,360.0,1.0,718,34,2,Urban,0.0304,Y
Female,No,3+,Not Graduate,,42846,0,59.6,360.0,1.0,747,50,0,Rural,0.3864,Y
Female,Yes,0,Graduate,No,37782,7179,18.1,360.0,1.0,731,24,1,Urban,0.1118,Y
Female,Yes,0,Graduate,Yes,23369,8181,15.8,300.0,1.0,753,36,2,Rural,0.1669,Y
Male,,0,Graduate,No,42886,9080,17.7,300.0,1.0,637,40,0,Urban,0.1135,Y
Male,Yes,0,Graduate,No,33396,21144,13.8,360.0,0.0,546,52,0,Urban,0.0703,N
Male,Yes,3+,Graduate,No,50095,0,18.8,360.0,1.0,495,40,2,Semiurban,0.1042,Y
Female,Yes,1,Graduate,No,25047,11255,20.5,360.0,1.0,790,44,0,Rural,0.1569,Y
Female,Yes,1,Graduate,No,48482,16742,20.3,360.0,1.0,629,33,0,Rural,0.0865,Y
Male,No,1,Graduate,No,35615,0,9.4,180.0,1.0,688,41,0,Semiurban,0.1466,Y
Male,Yes,0,Graduate,No,23750,28274,34.3,180.0,1.0,733,52,0,Rural,0.3663,Y
Male,Yes,0,Graduate,Yes,22842,44414,14.4,300.0,1.0,660,21,2,Semiurban,0.0714,Y
Male,Yes,1,Graduate,No,24624,18773,13.5,360.0,0.0,493,50,1,Rural,0.0864,N
Female,No,1,Not Graduate,No,40007,0,13.2,300.0,0.0,613,36,0,Rural,0.11,N
Female,Yes,0,Graduate,Yes,47122,28104,10.7,360.0,,549,23,1,Semiurban,0.0395,Y
Female,Yes,2,Graduate,No,50762,15643,23.6,360.0,1.0,779,35,0,Semiurban,0.0987,Y
Male,Yes,0,Graduate,No,51729,0,34.4,120.0,1.0,769,52,0,Semiurban,0.5542,Y
Male,Yes,0,Graduate,No,30356,0,13.0,360.0,1.0,661,33,1,Semiurban,0.119,Y
Female,Yes,0,Graduate,No,75297,17777,6.6,300.0,1.0,666,41,1,Rural,0.0236,Y
Female,No,,Graduate,No,35557,0,10.8,120.0,1.0,621,21,0,Urban,0.2531,Y
Male,Yes,2,Graduate,No,55552,33798,15.3,360.0,1.0,676,21,1,Urban,0.0476,Y
Female,Yes,2,Graduate,No,40861,16529,9.6,360.0,1.0,692,26,2,Semiurban,0.0465,Y
Male,Yes,0,Graduate,,53520,149302,14.0,360.0,0.0,561,49,2,Urban,0.0192,Y
Male,No,1,Graduate,No,39848,0,14.4,360.0,1.0,840,37,1,Semiurban,0.1004,Y
Male,Yes,1,Graduate,No,54004,6803,19.9,360.0,1.0,553,50,0,Rural,0.0909,Y
Male,,0,Graduate,No,44192,0,8.4,360.0,1.0,628,51,1,Semiurban,0.0528,Y
Male,Yes,,Graduate,No,66631,33691,28.4,360.0,0.0,656,30,0,Rural,0.0786,N
Male,,3+,Graduate,No,29456,25905,54.4,240.0,1.0,850,55,0,Urban,0.4094,Y
Female,Yes,1,Graduate,Yes,18307,0,47.3,240.0,1.0,632,32,2,Rural,1.0765,N
Male,Yes,3+,Graduate,No,27264,29008,14.1,360.0,1.0,801,49,2,Semiurban,0.0696,Y
Male,Yes,0,Graduate,No,75694,0,30.0,360.0,0.0,486,49,0,Urban,0.1101,N
Female,Yes,1,Not Graduate,No,41057,25365,27.9,300.0,0.0,555,39,0,Semiurban,0.14,Y
Male,Yes,0,Not Graduate,Yes,46445,7871,19.6,300.0,1.0,711,39,1,Rural,0.1203,Y
Male,Yes,0,Graduate,No,26191,1964,22.3,360.0,1.0,648,42,3,Urban,0.22,Y
Female,Yes,0,Graduate,No,45834,0,30.3,360.0,0.0,552,39,1,Semiurban,0.1836,N
Male,No,0,Graduate,No,26598,0,34.1,360.0,1.0,587,34,2,Rural,0.3561,Y
Male,No,0,Graduate,No,28627,0,12.3,360.0,1.0,771,33,2,Urban,0.1193,Y
Male,No,0,Not Graduate,,36270,0,31.5,360.0,1.0,629,34,1,Semiurban,0.2412,Y
Male,No,0,Not Graduate,No,55412,0,54.6,120.0,1.0,650,51,1,Semiurban,0.8211,Y
Female,Yes,1,Not Graduate,No,58450,12891,34.1,240.0,1.0,640,21,1,Urban,0.1992,Y
Female,No,0,Graduate,No,59250,0,50.5,300.0,1.0,644,33,1,Semiurban,0.2841,Y
Female,Yes,0,Graduate,No,20049,37925,4.3,360.0,0.0,603,34,1,Urban,0.0206,Y
Female,Yes,0,Not Graduate,No,44208,32911,28.7,300.0,1.0,716,35,1,Rural,0.124,Y
Female,Yes,0,Graduate,No,40199,0,23.5,360.0,1.0,850,41,1,Urban,0.1624,Y
Male,Yes,1,Not Graduate,No,20618,0,37.2,360.0,0.0,568,23,1,Urban,0.5012,N
Female,No,0,Graduate,Yes,44712,0,10.2,300.0,1.0,701,49,1,Semiurban,0.076,Y
Male,Yes,2,Graduate,No,39136,46016,14.8,360.0,1.0,830,48,0,Urban,0.0483,Y
Female,Yes,0,Graduate,No,57283,0,34.5,300.0,1.0,730,45,1,Urban,0.2008,Y
Female,No,0,Graduate,No,46195,0,10.6,180.0,1.0,701,36,0,Rural,0.1275,Y
Male,Yes,2,Graduate,No,33703,44025,23.2,240.0,0.0,578,30,0,Rural,0.1244,N
Male,Yes,1,Graduate,No,70466,6353,19.9,120.0,0.0,607,34,2,Rural,0.2159,N
Male,No,0,Graduate,No,14609,0,17.9,360.0,1.0,798,39,0,Semiurban,0.3403,Y
Male,Yes,2,Graduate,No,42953,30974,,360.0,1.0,831,45,1,Rural,0.1063,Y
Female,Yes,0,Graduate,No,18368,5140,,360.0,1.0,803,37,1,Rural,0.1217,Y
Female,Yes,2,Graduate,Yes,28111,95320,12.6,360.0,1.0,752,42,1,Semiurban,0.0284,Y
Male,Yes,1,Not Graduate,No,57665,55753,18.5,360.0,1.0,729,33,0,Urban,0.0453,Y
Male,No,1,Graduate,No,23456,0,9.8,360.0,0.0,773,41,0,Urban,0.1161,Y
Male,Yes,3+,Graduate,No,21767,0,42.0,360.0,1.0,667,35,0,Semiurban,0.536,N
Male,Yes,0,Not Graduate,Yes,145943,21001,12.4,300.0,1.0,773,41,0,Rural,0.0248,Y
,Yes,1,Not Graduate,No,22479,38303,32.2,360.0,1.0,816,21,0,Semiurban,0.1472,Y
Male,Yes,0,Graduate,No,101241,10038,11.9,360.0,,804,43,1,Semiurban,0.0297,Y
,No,0,Not Graduate,Yes,40697,0,30.6,240.0,1.0,641,44,0,Urban,0.3133,Y
Male,Yes,0,Graduate,Yes,34118,41659,7.6,300.0,1.0,850,44,3,Urban,0.0334,Y
Male,Yes,0,Graduate,No,58888,7737,46.8,360.0,1.0,850,27,1,Semiurban,0.1951,Y
Female,Yes,1,Graduate,Yes,86534,0,39.7,360.0,1.0,805,30,1,Rural,0.1274,Y
Male,No,1,Graduate,No,25008,0,14.4,120.0,1.0,619,28,1,Urban,0.4798,N
Female,No,1,Not Graduate,No,34368,0,12.2,240.0,1.0,798,42,0,Rural,0.1479,Y
Female,Yes,0,Graduate,No,67740,15472,26.4,300.0,0.0,382,45,0,Urban,0.1058,N
Male,Yes,0,Not Graduate,Yes,51226,31555,,120.0,1.0,689,30,2,Semiurban,0.0805,Y
Male,Yes,3+,Graduate,No,76954,0,20.5,240.0,1.0,720,52,1,Semiurban,0.111,Y
Male,No,0,Graduate,No,57386,0,12.4,240.0,1.0,670,52,1,Rural,0.09,Y
Male,Yes,1,Graduate,No,109547,13615,17.2,240.0,1.0,850,40,3,Urban,0.0582,Y
Male,No,2,Not Graduate,No,48499,0,13.6,300.0,1.0,719,42,1,Urban,0.0935,Y
Female,Yes,2,Graduate,No,49558,52863,12.4,360.0,1.0,623,21,0,Urban,0.0336,Y
Male,No,0,Not Graduate,No,52097,0,55.9,240.0,0.0,658,32,0,Rural,0.4471,N
Male,Yes,2,Not Graduate,No,41306,37474,32.1,360.0,1.0,746,24,0,Urban,0.1132,Y
Male,Yes,0,Graduate,No,67781,22010,8.3,360.0,1.0,552,28,2,Urban,0.0257,Y
Female,Yes,2,Graduate,Yes,49937,14722,11.9,360.0,1.0,830,44,0,Semiurban,0.0511,Y
Male,Yes,0,Not Graduate,Yes,65781,0,33.6,300.0,0.0,599,46,0,Semiurban,0.1703,N
Male,No,0,Not Graduate,No,71129,0,35.9,240.0,1.0,799,47,2,Rural,0.2103,Y
Male,No,0,Graduate,No,54953,0,8.7,360.0,1.0,747,41,0,Rural,0.044,Y
Female,No,2,Graduate,No,57003,0,30.5,360.0,1.0,680,44,0,Semiurban,0.1486,Y
Male,Yes,0,Graduate,No,26765,0,23.5,360.0,1.0,748,21,2,Rural,0.2439,N
Female,Yes,0,Graduate,No,33686,0,6.3,180.0,1.0,701,24,1,Semiurban,0.1039,Y
Female,No,0,Graduate,No,67622,0,15.8,120.0,1.0,736,36,1,Urban,0.1947,Y
Male,Yes,3+,Graduate,No,90383,20769,18.5,240.0,1.0,764,45,0,Rural,0.0693,Y
Female,Yes,,Graduate,No,16811,0,20.7,240.0,,723,33,1,Semiurban,0.513,Y
Male,Yes,1,Graduate,No,33392,34591,9.1,180.0,0.0,632,23,2,Semiurban,0.0744,Y
Female,Yes,1,Graduate,No,44883,0,12.7,240.0,1.0,677,30,1,Semiurban,0.1179,Y
Female,Yes,0,Graduate,No,28577,18080,13.8,300.0,1.0,659,28,1,Semiurban,0.0986,Y
Male,Yes,0,Graduate,No,29400,52010,14.6,360.0,0.0,660,21,0,Urban,0.0498,Y
Male,Yes,3+,Graduate,No,56244,8767,14.7,360.0,1.0,841,62,2,Semiurban,0.0628,Y
Female,No,,Graduate,No,97801,0,18.5,180.0,1.0,663,52,1,Rural,0.1051,Y
Male,Yes,0,Graduate,No,16060,0,24.2,360.0,1.0,738,21,2,Semiurban,0.4185,Y
Male,Yes,0,Graduate,No,40732,0,58.2,360.0,0.0,463,21,0,Urban,0.3969,N
Male,Yes,0,Graduate,No,55918,67074,33.9,240.0,1.0,850,29,1,Rural,0.1148,Y
Female,No,0,Not Graduate,No,65520,0,44.3,180.0,0.0,693,22,3,Urban,0.3756,N
,Yes,0,Graduate,No,52029,63437,15.1,180.0,1.0,657,64,0,Urban,0.0727,Y
Male,Yes,0,Graduate,Yes,107013,22113,11.0,360.0,0.0,558,29,3,Urban,0.0237,N
Male,Yes,0,Not Graduate,Yes,45002,30399,32.5,240.0,1.0,819,42,0,Urban,0.1796,Y
Male,Yes,0,Graduate,Yes,85476,14705,19.9,180.0,0.0,606,32,0,Semiurban,0.1104,Y
Female,Yes,0,Not Graduate,No,32107,14820,31.1,300.0,1.0,767,25,2,Semiurban,0.2209,Y
Male,No,0,Graduate,Yes,45661,0,11.8,360.0,1.0,621,50,0,Rural,0.0718,Y
Female,No,2,Graduate,No,24189,0,29.6,300.0,1.0,762,45,1,Rural,0.4079,Y
Male,Yes,0,Graduate,Yes,69594,33476,18.1,300.0,1.0,697,37,0,Rural,0.0585,Y
Female,Yes,1,Graduate,No,41764,28672,15.2,240.0,1.0,737,64,1,Semiurban,0.0899,Y
Male,No,1,Graduate,No,53046,0,16.1,,1.0,674,41,1,Semiurban,0.1012,Y
Male,Yes,,Graduate,No,37923,12526,27.0,300.0,1.0,691,33,0,Rural,0.1784,Y
,No,0,Graduate,No,59469,0,32.0,300.0,1.0,719,59,0,Semiurban,0.1794,Y
Female,Yes,0,Not Graduate,No,54107,5592,16.1,300.0,1.0,657,42,3,Rural,0.0899,Y
Female,No,0,Graduate,No,26975,0,24.7,180.0,1.0,850,56,2,Semiurban,0.5087,Y
Male,No,1,Graduate,,27767,0,24.6,180.0,0.0,495,38,2,Urban,0.4922,N
Female,No,0,Graduate,No,43744,0,31.3,240.0,1.0,755,21,0,Semiurban,0.2981,Y
,No,2,Graduate,No,61684,0,36.3,180.0,1.0,737,21,1,Semiurban,0.3269,Y
Male,Yes,2,Graduate,No,112583,13839,59.5,240.0,1.0,778,50,3,Semiurban,0.1961,Y
Male,No,0,Graduate,No,51611,0,15.2,120.0,0.0,365,32,0,Urban,0.2454,N
Male,Yes,0,Graduate,Yes,73406,15276,48.2,300.0,1.0,558,41,2,Semiurban,0.1812,Y
Male,Yes,1,Not Graduate,Yes,19803,33059,21.5,240.0,1.0,661,50,0,Rural,0.1695,Y
Female,No,0,Graduate,No,121355,0,10.4,360.0,0.0,673,40,1,Rural,0.0238,N
Female,No,0,Graduate,No,60045,0,,360.0,1.0,686,29,0,Urban,0.0629,Y
Female,No,2,Graduate,No,43269,0,26.6,300.0,1.0,683,38,1,Urban,0.2049,Y
Male,Yes,0,Graduate,No,40850,25174,31.0,300.0,1.0,711,39,0,Semiurban,0.1565,Y
Male,No,3+,Graduate,No,25499,0,10.9,,1.0,634,34,0,Semiurban,0.1187,Y
Female,No,1,Not Graduate,No,29418,0,12.7,360.0,1.0,752,23,0,Urban,0.1199,Y
Female,Yes,2,Not Graduate,Yes,115291,18792,14.6,360.0,1.0,727,34,0,Urban,0.0302,Y
Female,Yes,0,Graduate,No,27052,24561,12.0,360.0,0.0,635,37,0,Rural,0.0646,N
Female,Yes,0,Graduate,No,26792,23425,6.5,360.0,1.0,846,22,0,Rural,0.036,Y
Female,Yes,0,Graduate,Yes,31222,20221,5.3,300.0,1.0,689,28,3,Semiurban,0.0343,Y
Male,No,0,Graduate,No,24365,0,16.0,120.0,1.0,720,30,0,Semiurban,0.5472,Y
Male,Yes,0,Graduate,No,44697,0,23.4,180.0,1.0,621,21,2,Semiurban,0.2908,Y
Female,No,0,Graduate,Yes,76455,0,29.8,360.0,1.0,597,39,0,Urban,0.1083,Y
Female,No,0,Graduate,No,32688,0,8.9,360.0,0.0,589,41,0,Semiurban,0.0756,Y
Male,Yes,0,Graduate,No,22322,0,9.0,240.0,1.0,719,32,0,Urban,0.168,Y
Male,No,2,Not Graduate,No,51325,0,14.6,240.0,1.0,772,23,2,Semiurban,0.1185,Y
Female,Yes,0,Not Graduate,No,43136,0,20.1,360.0,0.0,642,42,2,Urban,0.1294,N
Male,No,0,Graduate,No,73230,0,36.8,300.0,1.0,733,44,0,Semiurban,0.1675,Y
Male,Yes,1,Graduate,No,35339,0,30.9,360.0,1.0,850,39,0,Semiurban,0.2429,Y
Male,No,3+,Not Graduate,No,38946,0,16.1,360.0,1.0,682,38,1,Urban,0.1148,Y
Female,Yes,0,Graduate,Yes,41161,0,24.9,300.0,1.0,693,45,0,Urban,0.2016,Y
Female,Yes,0,Not Graduate,No,46374,7338,12.1,240.0,1.0,735,37,2,Urban,0.0939,Y
Male,No,1,Graduate,No,36451,0,21.0,360.0,1.0,603,28,2,Semiurban,0.16,Y
Female,Yes,3+,Graduate,No,33613,11723,19.3,,1.0,772,37,2,Urban,0.2365,Y
Male,Yes,2,Graduate,No,17585,28757,46.6,360.0,1.0,716,34,0,Urban,0.2793,Y
Male,Yes,1,Not Graduate,No,33433,0,27.0,360.0,1.0,718,37,0,Semiurban,0.2243,Y
Female,No,0,Graduate,No,63425,0,12.6,360.0,0.0,639,48,3,Rural,0.0552,N
Female,Yes,0,Graduate,No,67855,21208,12.7,360.0,1.0,744,25,0,Urban,0.0396,Y
Female,Yes,0,Graduate,No,35047,27916,16.4,300.0,0.0,627,40,0,Semiurban,0.0868,N
Female,Yes,1,Not Graduate,No,84944,0,7.9,360.0,1.0,675,24,1,Rural,0.0258,Y
Male,Yes,1,Not Graduate,No,43724,0,17.5,240.0,1.0,850,28,0,Rural,0.1668,Y
Male,Yes,3+,Not Graduate,No,22722,39511,18.4,360.0,1.0,578,55,2,Urban,0.0821,Y
Male,Yes,0,Not Graduate,No,19415,52590,26.6,120.0,0.0,528,43,3,Rural,0.3078,N
Male,Yes,0,Graduate,No,81563,0,29.0,360.0,1.0,660,40,0,Semiurban,0.0988,Y
Male,Yes,0,Graduate,No,36809,24146,21.3,360.0,1.0,645,21,0,Rural,0.0971,Y
Female,Yes,1,Graduate,No,24172,0,7.6,360.0,1.0,553,35,0,Semiurban,0.0873,Y
Male,No,2,Graduate,Yes,14334,0,9.7,300.0,1.0,850,21,0,Rural,0.2256,Y
Female,Yes,0,Not Graduate,No,36393,33046,14.0,240.0,1.0,768,38,0,Rural,0.084,Y
Female,Yes,0,Not Graduate,No,54305,90891,29.7,300.0,1.0,653,24,0,Semiurban,0.0682,Y
Female,No,0,Graduate,No,31293,0,29.1,360.0,1.0,773,44,0,Rural,0.2583,Y
Male,Yes,0,Graduate,No,26196,40288,17.3,360.0,1.0,696,40,1,Urban,0.0723,Y
Male,No,2,Not Graduate,No,33702,0,82.8,360.0,1.0,684,25,1,Urban,0.6824,N
Male,Yes,0,Graduate,No,82586,17337,51.3,360.0,1.0,624,42,3,Semiurban,0.1426,Y
Male,Yes,2,Graduate,No,22104,57221,42.3,300.0,1.0,712,61,0,Rural,0.1777,Y
Female,Yes,1,Graduate,Yes,32182,29192,30.6,360.0,1.0,653,36,1,Semiurban,0.1385,Y
Male,No,2,Graduate,Yes,81258,0,26.4,300.0,1.0,623,48,1,Semiurban,0.1083,Y
Male,No,0,Graduate,No,56788,0,25.3,120.0,1.0,796,21,0,Semiurban,0.3713,Y
Female,Yes,2,Graduate,No,48512,11337,6.8,360.0,1.0,636,43,1,Urban,0.0316,N
Male,Yes,0,Graduate,No,32073,15868,10.7,360.0,1.0,836,32,0,Urban,0.062,Y
Female,No,0,Not Graduate,No,45038,0,17.6,300.0,0.0,526,35,0,Semiurban,0.1303,N
Female,Yes,0,Graduate,No,33897,44024,21.7,300.0,0.0,455,45,0,Rural,0.0928,Y
Female,Yes,0,Graduate,No,28863,25715,18.6,360.0,1.0,757,35,0,Urban,0.0947,Y
Male,No,0,Not Graduate,,25848,0,23.7,360.0,0.0,550,21,0,Semiurban,0.2547,N
Male,No,0,Graduate,No,65647,0,5.7,360.0,1.0,568,55,0,Urban,0.0241,Y
Female,Yes,3+,Graduate,No,43036,0,27.2,300.0,1.0,733,22,0,Urban,0.2107,Y
Male,No,0,Not Graduate,No,51909,0,20.8,360.0,0.0,472,29,0,Urban,0.1113,N
Female,No,2,Graduate,No,47850,0,17.9,360.0,0.0,411,39,0,Semiurban,0.1039,N
Female,Yes,3+,Not Graduate,No,55296,19281,35.0,360.0,1.0,771,40,0,Urban,0.1304,Y
Female,Yes,0,Graduate,No,39052,0,10.7,300.0,1.0,844,43,1,Urban,0.0913,Y
Male,Yes,1,Graduate,No,34863,28853,17.4,360.0,0.0,554,39,0,Rural,0.0759,N
Male,No,0,Graduate,No,29506,0,23.8,300.0,1.0,819,51,3,Rural,0.2689,N
Female,No,0,Graduate,No,21873,0,12.0,240.0,,782,43,0,Urban,0.2286,Y
Male,Yes,0,Not Graduate,No,25311,22052,6.0,180.0,0.0,650,25,0,Semiurban,0.0704,Y
Male,No,3+,Graduate,No,36949,0,10.1,360.0,1.0,695,21,0,Urban,0.0759,Y
Male,Yes,0,Not Graduate,No,19900,21048,19.3,300.0,1.0,656,40,1,Rural,0.1571,Y
Female,Yes,1,Not Graduate,Yes,22222,24891,17.3,360.0,1.0,741,54,1,Semiurban,0.102,Y
Female,Yes,0,Graduate,No,74688,7516,19.9,240.0,1.0,768,24,2,Rural,0.1009,Y
Male,Yes,2,Not Graduate,No,49617,20995,13.5,300.0,1.0,597,26,0,Urban,0.0637,Y
Male,,0,Graduate,No,35386,0,9.1,360.0,1.0,681,42,0,Semiurban,0.0714,Y
Female,Yes,1,Graduate,No,138107,15347,21.8,360.0,1.0,693,43,2,Semiurban,0.0395,Y
Female,No,1,Not Graduate,No,19455,0,18.2,300.0,1.0,685,50,2,Urban,0.3118,Y
Male,Yes,1,Graduate,No,72244,37681,29.5,360.0,1.0,649,56,0,Urban,0.0745,Y
Male,Yes,3+,Graduate,No,41951,10944,12.8,360.0,0.0,470,41,2,Semiurban,0.0672,N
Female,No,2,Graduate,Yes,65678,0,6.0,360.0,1.0,683,28,1,Semiurban,0.0254,Y
